speech,label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_9,mfcc_10,mfcc_12,mfcc_14,mfcc_15,mfcc_17,mfcc_19,mfcc_20,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,chroma_1,chroma_8,spectral_1,spectral_2,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6
../data\Angry_Female\anger_xn_19.wav,angry,-409.77682,142.01807,-46.84218,29.20572,-21.194754,-22.438574,23.150797,-14.325327,1.2954283,1.7498559,-0.9808839,6.4427905,-3.992685,-5.995693,-2.481939,-0.11830445,-7.148201,-5.069026,-4.193581,-7.547043,-4.689134,-7.369853,-8.606263,-5.1737514,-2.9845123,0.4023789,0.17701428,3.3779044,1.807086,-0.8625601,-0.27241388,1.0264854,1.9596176,0.293311,0.49160826,32.022330770583345,18.03856878001969,-0.02118587450058872,0.04938182894706311,0.10256756116439979,0.0270148963900278,0.004861608989756102,-0.01800347488269349
../data\Angry_Female\anger_xn_2.wav,angry,-489.93982,133.05171,-28.840286,41.599113,-12.862016,-17.778406,21.328508,-4.637592,1.745982,4.4650445,0.69514745,2.6127105,-0.9827935,-6.3833933,1.0283548,-1.7112143,-5.148167,-5.4434633,-4.097199,-4.7715697,-2.107413,-2.9095714,-1.5614057,1.0963254,-1.1674476,-2.9019654,-3.1071262,-0.8866061,0.9834994,1.814763,-0.3853551,0.58241117,-0.22569063,0.4315627,0.5563941,30.839158746271952,15.566987270663342,0.011493578502104794,0.05546118107713053,0.0649645674027379,-0.013951138917717768,0.03250705866077976,-0.026225924384855243
../data\Angry_Female\anger_xn_20.wav,angry,-522.36414,101.34304,4.448303,33.975483,-3.90038,-7.969576,18.349178,-4.435458,1.8253522,0.8995535,-3.4664543,1.4759107,-2.211387,-6.2341065,-0.26119715,-2.9195297,-2.7662969,-4.178597,-5.900363,-3.5981495,-3.6408005,-5.853895,-2.8128085,-0.5939678,0.40146634,2.446572,1.2865286,0.807618,-2.040736,-3.2853897,-3.4281895,-1.6069889,-0.5449875,0.3765556,0.56315196,29.96170749432102,16.288536577180935,0.009611481812550237,0.0666503357411262,0.09050854517724963,-0.008118508671057664,0.01982081134900872,-0.04244250943522956
../data\Angry_Female\anger_xn_21.wav,angry,-452.8781,135.08603,-31.46037,69.26986,-11.926747,-30.481585,23.076591,-12.493267,-4.990787,4.833399,-6.097704,8.239026,-4.4399815,-10.540684,-2.0164542,-9.294394,-9.165983,-5.8213725,-7.228933,-5.8456798,1.2269803,1.2403852,2.3105617,5.109563,2.8198555,2.2276657,2.6743693,4.500609,3.9687068,4.0088,3.0756567,4.308677,2.7488124,0.32003716,0.45844713,30.349829184537555,17.997684853312713,-0.010517291695338361,0.017616681396876756,0.06255901212320623,-0.07144018899814486,0.0027599819911729912,-0.012849594784688216
../data\Angry_Female\anger_xn_22.wav,angry,-461.5393,121.47026,-21.889751,36.917965,-15.397931,-15.734545,16.53416,-6.8425226,7.0095654,-0.19443333,3.9667861,0.70645636,3.207559,-8.482172,0.8144898,-3.374712,-7.6410294,-8.439072,-4.2138395,-4.8131084,-1.2240207,2.1021233,3.76327,6.6957693,2.9768276,0.6780138,1.2725004,-1.6840167,2.0076413,-1.3586011,-3.0053039,-1.6584605,-2.6150532,0.36648476,0.47729865,28.928048179113183,15.842882843475419,0.03168119243546199,0.043257824459321643,0.06880837786886429,-0.028673391003199662,0.024677607117877007,-0.008772308434650208
../data\Angry_Female\anger_xn_23.wav,angry,-459.52597,109.968506,-19.881098,42.938194,-6.972299,-16.716576,12.658821,-9.204738,0.34747562,1.4559821,3.1063485,3.9181652,-1.0285357,-8.429612,-1.5520813,-4.5216103,-6.3184514,-7.8213773,-5.474754,-3.6715953,-3.841978,-4.050005,0.038070314,1.9702878,0.36009035,1.0687528,1.8317546,2.23082,2.137976,0.92822295,-1.858338,-0.0008417127,0.065592185,0.3841781,0.56447834,30.14952433044531,16.61381806099528,-0.010118100676921248,0.05318928303216893,0.05389055629299593,0.016233460966031395,0.021872325329473658,-0.01597965314188804
../data\Angry_Female\anger_xn_24.wav,angry,-456.5626,101.94206,-26.925236,45.98367,3.215523,-17.181211,8.59967,-8.045591,1.5787983,-1.021238,-0.013140504,5.7644763,-2.1226366,-3.766961,-1.6451582,-2.550932,-6.5115395,-6.1053433,-6.0965977,-8.377545,-8.294243,-7.6040387,-3.5901954,-0.89683867,1.0462068,4.964319,5.430868,5.9371142,1.3343624,1.2034627,-1.4499226,-1.6740544,-1.3347282,0.32694438,0.5426721,28.924227081842673,16.654319710069895,-0.007830709636444706,0.07695083995295288,0.03607771834112243,0.06425306608434705,0.010925980918432774,-0.014861895399147831
../data\Angry_Female\anger_xn_25.wav,angry,-396.5366,121.062645,-35.077366,33.011086,-9.358933,-23.468016,6.025532,-11.326135,6.2214518,1.8317082,-0.49000278,0.21663055,-1.8963417,-9.78406,-1.7639605,-5.7209444,-8.013609,-4.555946,-3.7883544,-7.7513866,-8.634305,-6.1775055,-3.408331,-3.0867457,-0.2380458,4.0876746,0.00604518,-3.2430255,3.5129797,2.6628075,3.5362873,4.929417,-1.3224229,0.33918938,0.43568513,32.475946277083736,18.022490264044215,-0.0078007807448180555,0.017152791109400548,0.045092049368982055,-0.029388821523928844,0.03447282736912568,-7.982480799602862e-06
../data\Angry_Female\anger_xn_26.wav,angry,-446.08008,119.98097,-28.119123,34.95391,-21.467655,-19.45107,24.252728,-12.929588,6.724366,0.46222323,3.6919801,3.2415447,0.69486845,-7.361175,-0.062755965,-1.6541452,-3.2103996,-5.7610736,-3.4403958,-4.1420264,-4.9168296,-3.4967506,-0.40056622,0.61610603,-1.5390246,-2.3943536,-3.9211533,-4.0443397,1.3666433,1.4357449,-0.22138414,0.9517364,1.6909204,0.31375727,0.4593549,30.664041377932314,17.22098961874212,0.013124911022256417,0.04571118284681357,0.05468812376872238,-0.011045155788671417,0.01553171153546177,-0.037172940826178065
../data\Angry_Female\anger_xn_27.wav,angry,-466.2709,102.37476,-20.88379,34.60638,-3.0039177,-16.382408,12.944821,-9.858334,4.6513443,1.9880545,0.16142316,3.3988369,-4.426445,-5.8491945,-2.8947325,-5.43833,-6.7442164,-6.6005616,-2.4809399,-0.6463451,-1.01495,0.008037424,0.86236346,-0.98743033,-2.290453,-0.62592304,-0.1975625,-0.31815526,0.9345763,-0.24975635,-1.3373111,-1.2014785,-2.531667,0.4226331,0.5656669,30.839843746838994,17.66174948464528,0.03559458049196263,0.0412603224092077,0.08578535098097939,-0.04903308704740901,0.04559736246883361,0.0012422669085052857
../data\Angry_Female\anger_xn_28.wav,angry,-453.57086,131.91173,-21.66582,40.01581,-14.100051,-23.479607,14.158202,-10.967802,0.7347027,0.6114557,1.2203604,-0.5852334,-0.10676522,-7.704092,1.3626903,-3.879424,-6.3528295,-5.5831532,-2.3511622,-5.9898186,-3.9774466,-2.0086813,-4.1072717,-0.49843973,1.4162941,-0.110709794,-1.67601,-2.946332,-1.2376542,-1.9483969,0.042361803,0.9231928,-0.46443298,0.30669627,0.50424343,31.216273064457894,16.3522696081588,-0.007803344729874256,0.06534618691462434,0.06160915677761041,0.006982769312179459,0.008193290198645203,-0.015855585922717005
../data\Angry_Female\anger_xn_29.wav,angry,-440.56976,99.62373,-43.21534,35.390236,-17.600647,-14.913998,18.657097,1.6120545,6.9231353,2.9815454,3.0458302,1.1549052,2.4221427,-3.725377,0.56288797,-1.0087599,-6.578254,-3.7142913,-3.6249175,-6.4190784,-3.3934362,-3.3618648,-0.5994704,0.98705965,1.9005867,0.98937047,-5.1260138,-4.1897945,-2.33563,-0.4787021,-2.6875353,0.31276444,0.21102445,0.39601165,0.50009423,28.929395287666683,15.180952306698947,-0.0016047457118423165,0.10469225415062731,0.04668830972964976,-0.009237673973114284,0.016423347861511426,-0.027867674902179704
../data\Angry_Female\anger_xn_3.wav,angry,-511.05252,137.44379,-29.342772,33.260212,-4.7307425,-8.738735,19.408545,-2.433569,2.8471959,4.5942025,0.08263468,1.3058156,1.8045082,-5.337703,1.7479004,1.6906015,1.6340982,-6.0725493,-6.48131,-4.582957,-3.6192834,-4.5691233,-2.9916415,-1.1213595,-1.7370758,-2.0196052,-3.4512677,-2.4290185,-1.373922,-0.65967435,-1.7362573,-0.33725342,0.39722607,0.35400224,0.41255215,30.631683628969437,15.615798701794107,-0.017028901533301416,0.022983466084133108,0.0008284127833503968,0.020910586392968968,-0.0036125336299213913,-0.03458891422394036
../data\Angry_Female\anger_xn_30.wav,angry,-397.89917,118.96276,-46.401367,10.943235,-25.054264,-17.508358,24.604692,-5.861615,5.2888985,2.792583,-3.797063,-0.09412154,-2.6977801,-4.8293447,1.346,-5.2157226,-5.596212,-4.2374682,-6.896214,-7.1611824,-0.23257886,-3.0944955,-2.9903738,2.178939,-1.4613584,-2.7810473,-3.2619088,-2.4748752,1.2740663,1.6964886,2.9385123,2.9037147,1.2754849,0.2947738,0.5038202,30.587809861191054,17.77321431258069,-0.014775054352516902,0.0527018490733645,0.06242135906967266,-0.02560381068667416,0.003426210691088694,0.0067625001851303514
../data\Angry_Female\anger_xn_31.wav,angry,-269.00742,101.210785,-66.07844,33.67698,-17.963871,-25.87218,22.344402,-6.957839,-0.013694885,-3.2211618,-7.347372,1.7339671,-3.8784075,7.0852165,2.816105,0.3998177,-2.2781372,5.2587,7.669487,5.7176976,4.6282377,0.4341205,1.9265323,-0.6122762,-0.87821776,2.7986689,-1.195007,0.41643727,-2.5656433,0.7447229,1.663777,1.2600104,-1.7006403,0.43091998,0.48685768,24.403096609615897,16.763209921851207,-0.0016639942131266123,-0.011160820856388714,-0.034761697058067434,-0.023767072495372913,0.020928483498733143,-0.023991416645003424
../data\Angry_Female\anger_xn_32.wav,angry,-287.49017,103.1667,-48.5945,29.735842,-10.282141,-27.008238,12.278842,-8.580271,-1.9809529,-0.3226883,-6.261144,1.2184453,-6.95765,-2.9391584,-4.3075247,1.441542,2.6975882,7.634289,6.5985017,3.6544282,6.370996,3.524883,2.3700266,2.151598,1.552478,3.8363154,1.0923431,-1.0324287,-2.66747,-0.07298083,-1.7390919,-2.6875885,-1.6221607,0.4377056,0.3510322,25.241763913522256,17.462720929419667,-0.04925143090375344,0.013271052409104507,0.008266269091108894,0.01151648020822866,0.01909793335422983,-0.004104910804926402
../data\Angry_Female\anger_xn_33.wav,angry,-403.04703,116.19924,-25.165653,37.17424,-3.2488384,-13.302546,10.926585,0.9018484,-6.579513,6.398807,-5.8194685,0.035789702,-0.47248623,-2.5402715,-3.815639,-0.84697205,-2.616768,-1.5762999,1.4834584,0.1323006,3.6455414,2.6664813,1.3617272,1.1754017,-0.94200313,0.34543464,-0.7231022,-0.25769687,-0.55513585,0.5188057,0.35432765,1.2156104,1.5648807,0.4956117,0.4435382,27.823063370918533,16.179604557073244,-0.004715765656529152,0.02465971326913949,-0.014282506507806039,-0.04095842882643625,-0.019622366444470272,-0.008648397866636475
../data\Angry_Female\anger_xn_34.wav,angry,-429.06485,117.55507,-17.381527,40.256844,-1.7626964,-12.189431,6.6372185,3.4853163,-1.8594778,2.2015882,-6.7948103,0.5190687,-3.562496,-3.0151129,-3.0260584,0.37932944,-1.0958453,-3.112078,-5.526093,-5.2020416,1.154753,-1.6513817,2.1050038,8.398651,5.7878513,6.5193834,3.4974542,1.6628461,1.8542277,3.8208349,2.2740028,-0.42335925,0.12268324,0.28264412,0.40883303,27.913627480499667,17.347294492373695,-0.013405892317567962,0.01410524006744805,-0.016138800476122,-0.06998514277460545,0.015430761607917851,-0.0031215963473435688
../data\Angry_Female\anger_xn_35.wav,angry,-407.24683,84.61888,-27.444672,28.709099,-4.620282,-9.99363,14.394107,-0.45180953,0.32232633,0.3193777,-2.2622607,3.5927005,0.76969844,-2.3150942,1.2863452,-2.372837,-4.819279,-1.1732249,-4.0138397,-3.9990296,-0.056831595,-4.059389,-3.0932505,-0.66818345,-0.05871538,4.0860505,3.2211494,2.633983,-0.32048747,-0.688285,1.0013086,2.1997867,1.5265918,0.42747438,0.54790825,26.805906895431185,14.274766330486864,0.013646413889217073,0.01975627320760283,-0.011421999340323936,0.10946435886351269,0.006040676424315643,-0.026082733016238743
../data\Angry_Female\anger_xn_36.wav,angry,-365.28223,109.493286,-51.925526,46.114662,4.779968,-24.903805,10.553127,-5.864086,1.1130573,-1.8571837,-0.94866925,2.317052,-1.4885707,-5.0882454,-4.746612,-2.929283,-6.1220865,-1.2380219,-0.8852142,-2.906867,1.6602445,-0.2377669,0.6032028,3.0230587,0.38110164,0.6497455,-1.3834984,-2.054897,0.086632304,3.4360628,3.3072543,2.2085497,3.4951794,0.42117608,0.4527484,28.18468176086371,15.201441248080672,-0.016453160525819046,0.03489270026274146,-0.03832451704033522,-0.046803153150555554,0.0024007729249880903,-0.015194826671792443
../data\Angry_Female\anger_xn_37.wav,angry,-390.28076,87.81214,-24.143595,31.202843,-6.617406,-9.414577,15.143696,1.6147914,1.023137,3.3432941,-2.3007312,-0.93559945,-1.0884564,-4.81707,-5.2330337,-0.30636767,-2.4602764,-2.2738554,-2.607761,-2.528761,-1.0784886,-2.0336137,1.2545224,-0.18308388,-2.0092158,0.7542364,-1.1103863,0.55678797,-1.7094778,0.1764772,-1.5865312,-0.047585826,0.45554715,0.41548538,0.45921806,27.24428457023307,14.38733343330212,-0.02541511440068804,-0.006867391829921006,0.08185599006354667,-0.04237723429779888,0.010654256689292369,0.021534155472952794
../data\Angry_Female\anger_xn_38.wav,angry,-364.88684,104.13834,-23.196692,19.87472,-6.894754,-13.043658,12.441981,-2.2063382,5.2636747,-5.0272574,-7.686681,-1.2424682,-1.7489821,-5.3006916,-4.6714916,-1.24116,-2.1149733,2.3142405,4.6674504,3.785638,5.229136,3.5707636,1.4873992,0.74022686,0.6049641,1.6181431,1.1772126,0.20574854,-1.8337404,0.016520249,-1.3374958,-1.4025556,-3.1282256,0.46400154,0.4596619,25.406249056633296,15.620045276372661,-0.02160256357727743,-0.01684926855606161,-0.04779539704193518,0.0023330734348505416,-0.0010785725746858602,-0.007695653031179112
../data\Angry_Female\anger_xn_39.wav,angry,-339.18768,122.46439,-44.32503,33.05052,-6.5128684,-23.074339,11.006115,-4.190304,0.57864946,-0.21849017,-5.775175,0.035194945,-2.6227162,-6.3900485,-3.786083,-5.4813337,-2.901891,-1.3722109,-2.8594003,-3.1825078,-3.0369,-4.835598,-2.9002175,-1.5892494,0.42394722,5.1882505,6.153511,7.8103795,4.348609,4.1104145,2.5041142,1.4751608,1.112149,0.33037442,0.37411365,29.538019752683265,18.012967246221088,-0.06717281364492575,-0.00044150913467421533,0.021892639955448344,0.049055972724925775,-0.011056118871377398,-0.018559512733190717
../data\Angry_Female\anger_xn_4.wav,angry,-466.96176,122.4668,-22.56308,48.761482,-1.3514711,-20.895157,13.041721,-8.179758,-0.41850972,3.00507,-2.178697,3.4860773,-3.601346,-3.8212085,-1.6023309,1.1867049,-3.5376112,-5.939116,-4.361284,-3.6420712,-1.9479959,-6.050521,-6.878219,-2.1627407,-0.7305394,1.5469854,3.8718834,5.632381,1.8431915,0.22879192,-0.734422,0.036749795,1.7874204,0.36551997,0.43096805,30.92350277177996,16.743873683499405,-0.06781296310077786,0.03529720161234561,0.04905123668032877,0.09153887284287193,-0.0242639296626722,-0.026635656979820302
../data\Angry_Female\anger_xn_40.wav,angry,-316.11963,123.91619,-46.11117,13.469213,-19.740566,-21.509548,14.152732,-4.864021,6.066334,-1.6440146,0.61083376,-1.8045793,-2.084672,-1.1103634,-2.980499,2.9817586,-2.1508515,-5.9025106,-4.7411485,-3.5346127,0.9015537,0.2829287,1.6017704,4.2999983,3.115761,3.0687072,1.6948342,2.6574461,-0.8699438,0.55582166,-0.043926876,-1.2125702,0.839933,0.3256453,0.35707203,26.349373202234457,14.925770347758123,0.013338343383906673,0.00519400762042893,-0.00028895223161544675,-0.0404346052862094,0.021527868785128936,-0.007136187788765579
../data\Angry_Female\anger_xn_41.wav,angry,-408.41083,98.7124,-42.636215,24.807716,-16.683397,-19.470026,12.733219,6.179147,7.026274,1.6281404,-0.57462376,2.0113826,2.5343385,-0.8618588,-0.31250906,-0.5275754,-2.4418256,3.378292,0.38214052,-3.1308746,0.26280797,-1.8960218,-0.92506206,-2.3783567,-2.8903446,0.7964159,-0.8722705,1.746995,0.25814402,2.501413,-1.0606861,-0.7521058,0.7668338,0.4225003,0.65030575,25.972492223530512,13.044139308444217,0.02166602227707948,0.017020522908281353,0.03134284169257863,0.03118860667260927,0.010600182261014841,-0.007787908230481256
../data\Angry_Female\anger_xn_5.wav,angry,-500.1793,89.54954,-13.695108,30.591259,-7.6426873,-7.8893957,20.90796,-0.7658068,1.7985523,2.0913074,0.91597754,2.3570747,1.4614308,-3.5620146,0.9647781,0.21188226,-4.3063574,-4.428372,-0.35468468,2.863511,5.813223,2.0388906,0.78718424,-0.61411166,-4.396009,-2.4227293,-2.6275167,-2.686431,-2.807361,-3.561374,-3.804891,-2.6016326,-2.7259676,0.5949105,0.56989473,27.047360701613727,13.403316216466541,-0.018325391067013547,0.026569889706167926,0.046424847868425996,0.048278887348714834,0.01733761793179743,-0.018062014770111923
../data\Angry_Female\anger_xn_6.wav,angry,-500.0382,93.93305,-8.863938,39.67699,-1.5144507,-10.090421,16.389473,-5.292157,-0.28144157,2.52684,-2.9898114,3.5514174,-0.5778232,-6.898206,-2.9962466,-0.6360233,-3.2120013,-3.689581,-2.8198092,-3.3611515,-3.9413874,-3.1411264,1.784362,3.514571,1.8097683,0.40859652,-2.4686122,-1.2258772,-2.7319505,-2.7803814,-4.2441244,-2.0566406,0.6567973,0.46822116,0.5766927,28.724277602285515,15.276573489093954,0.012601292528150008,0.04768412518008813,0.08719606532587855,-0.020486704047976714,0.0011785822077791288,-0.02971683851339742
../data\Angry_Female\anger_xn_7.wav,angry,-459.45822,121.3315,-28.570824,58.6178,-13.500684,-24.773756,25.886044,-11.382782,-0.38735032,4.6096573,1.1023867,3.253866,-0.2047659,-4.761262,-1.4290655,-2.500935,-7.304787,-5.796956,-5.7339525,-6.6093903,-3.9237244,-4.233004,0.08328077,1.1508818,-2.1893053,-2.3369825,-3.2204614,-0.16322696,1.6557969,2.1057577,-1.8851182,-1.219397,0.99600536,0.3472342,0.47275022,32.04043360000539,18.49647984506659,0.02174510584304495,0.025272087439609264,0.07171039431815626,-0.032150990329683216,0.03156556729657173,-0.022890214901859475
../data\Angry_Female\anger_xn_8.wav,angry,-439.1059,133.36195,-32.400986,49.77783,-16.061209,-27.912415,14.908998,-8.585907,-5.21878,5.0725813,-0.1455591,-1.9702519,0.79700345,-6.032591,0.56280184,0.1833151,-3.8960783,-1.1406214,0.1660526,-4.5196977,-4.141973,-5.48248,-0.39394978,1.9895201,-4.3104362,-4.520816,-3.2425687,-1.8346868,-1.2031593,0.48015115,0.8184098,3.278032,2.130535,0.34580004,0.4599276,31.01891780784996,16.627826121339556,0.0266923698838853,0.04746507702472099,0.012097883533664292,-0.0315373494062404,0.0005789598288548071,-0.013257858589112818
../data\Angry_Female\anger_xn_9.wav,angry,-503.65747,107.86774,-2.1341896,45.16511,-3.4375262,-14.39178,14.890925,-8.534275,-1.3337647,2.614115,0.8354616,-0.14173374,0.9882805,-6.9124694,-1.5980126,-0.13349323,-3.3337197,-8.084581,-5.2132697,-2.470681,-1.1905869,-0.8716199,1.0103765,2.3998113,0.21295075,-0.37629423,0.4248666,1.5338385,-0.9783329,-1.9746853,-1.67499,-1.4399035,-1.6128775,0.4456184,0.5441353,30.279226870654558,15.791932926370613,-0.012883814147443957,0.06456345635875645,0.06458734682678087,0.04651016487952009,0.012405059172921328,-0.015425319028418781
../data\Angry_Female\jt_anger_1.wav,angry,-307.51538,142.84937,-75.956276,42.476154,-26.134865,-26.462965,-11.474856,-0.96669155,-25.063522,-14.220835,3.154726,-11.956107,-2.0616813,-5.750481,-7.8105083,-3.3467903,-11.59083,-1.9801546,-6.353662,-4.847915,2.36273,-7.6293592,4.4471536,-1.5014765,-6.156349,4.040961,-6.6996546,2.358149,-4.382057,1.6021782,-6.266633,-2.6985493,0.45637742,0.39649191,0.34150246,31.611053109479677,17.28285667240506,-0.05667412143235163,0.002895461715428941,0.0516306434073515,0.020926130349096222,0.0076637922574281,-0.026167887494517653
